ID: 9156, Имя: steamwebhelper, Приоритет: 10, Время запуска: 22.12.2023 10:10:41, Текущее состояние: True, Процессор использовал 00:03:24.2812500 времени
ID: 26172, Имя: steamwebhelper, Приоритет: 8, Время запуска: 22.12.2023 10:10:42, Текущее состояние: True, Процессор использовал 00:00:01.1250000 времени
ID: 24412, Имя: steamwebhelper, Приоритет: 8, Время запуска: 22.12.2023 10:10:48, Текущее состояние: True, Процессор использовал 00:00:23.2656250 времени
ID: 20348, Имя: steamwebhelper, Приоритет: 4, Время запуска: 22.12.2023 10:11:12, Текущее состояние: True, Процессор использовал 00:05:07.5781250 времени
ID: 10500, Имя: msedge, Приоритет: 8, Время запуска: 22.12.2023 10:55:47, Текущее состояние: True, Процессор использовал 00:00:10.2031250 времени
ID: 13832, Имя: msedge, Приоритет: 8, Время запуска: 22.12.2023 10:55:47, Текущее состояние: True, Процессор использовал 00:00:00.1250000 времени
ID: 15776, Имя: msedge, Приоритет: 10, Время запуска: 22.12.2023 10:55:47, Текущее состояние: True, Процессор использовал 00:00:00.4843750 времени
ID: 13532, Имя: msedge, Приоритет: 8, Время запуска: 22.12.2023 10:55:47, Текущее состояние: True, Процессор использовал 00:00:02.4843750 времени
ID: 23600, Имя: msedge, Приоритет: 8, Время запуска: 22.12.2023 10:55:47, Текущее состояние: True, Процессор использовал 00:00:00.2500000 времени
ID: 27296, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 11:11:46, Текущее состояние: True, Процессор использовал 00:00:03.6875000 времени
ID: 27180, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 11:11:47, Текущее состояние: True, Процессор использовал 00:00:01.0312500 времени
ID: 9872, Имя: svchost, Приоритет: 8, Время запуска: 22.12.2023 11:11:53, Текущее состояние: True, Процессор использовал 00:00:00.0312500 времени
ID: 24244, Имя: SystemSettingsBroker, Приоритет: 8, Время запуска: 22.12.2023 11:11:53, Текущее состояние: True, Процессор использовал 00:00:07.9375000 времени
ID: 14952, Имя: Telegram, Приоритет: 8, Время запуска: 22.12.2023 11:17:46, Текущее состояние: True, Процессор использовал 00:45:26.4062500 времени
ID: 13852, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 14:12:47, Текущее состояние: True, Процессор использовал 00:20:50.5468750 времени
ID: 2308, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 14:50:01, Текущее состояние: True, Процессор использовал 00:17:51.1406250 времени
ID: 24176, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 14:50:03, Текущее состояние: True, Процессор использовал 00:06:40.6562500 времени
ID: 22900, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 14:50:47, Текущее состояние: True, Процессор использовал 00:00:18.0625000 времени
ID: 15084, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 17:48:56, Текущее состояние: True, Процессор использовал 00:00:07.1562500 времени
ID: 24004, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 17:48:59, Текущее состояние: True, Процессор использовал 00:00:23.2500000 времени
ID: 13480, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 17:49:02, Текущее состояние: True, Процессор использовал 00:32:14.8593750 времени
ID: 21496, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 19:16:54, Текущее состояние: True, Процессор использовал 00:00:07.0156250 времени
ID: 15604, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 19:18:07, Текущее состояние: True, Процессор использовал 00:00:08.9687500 времени
ID: 8368, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 19:18:15, Текущее состояние: True, Процессор использовал 00:00:11.7031250 времени
